month	carrier	airport	arr_delay	weather_delay	nas_delay
7	YV	COS	very_long	no_delay	long	Delayed
7	YV	GSP	very_long	very_long	long	Delayed
7	YV	ORF	very_long	very_long	long	Delayed
7	YV	PBI	medium	no_delay	medium	OnTime
7	YV	SAV	very_long	very_long	very_long	Delayed
7	YV	TUL	very_long	no_delay	short	Delayed
7	YX	ATL	very_long	very_long	very_long	Delayed
7	YX	BTV	very_long	very_long	very_long	Delayed
7	YX	CVG	very_long	very_long	very_long	Delayed
7	YX	SBN	very_long	long	very_long	Delayed
7	G7	AVL	very_long	very_long	very_long	Delayed
7	G7	CMH	long	no_delay	medium	OnTime
7	G7	GSP	very_long	no_delay	short	Delayed
7	HA	KOA	very_long	long	short	Delayed
7	HA	SJC	very_long	no_delay	no_delay	Delayed
7	MQ	ABQ	very_long	medium	long	Delayed
7	MQ	AMA	very_long	medium	very_long	Delayed
7	MQ	CMH	very_long	very_long	very_long	Delayed
7	MQ	MCO	very_long	no_delay	medium	Delayed
7	MQ	PNS	very_long	very_long	very_long	Delayed
7	MQ	SLC	very_long	no_delay	medium	Delayed
7	MQ	SYR	very_long	long	very_long	Delayed
7	NK	CAE	very_long	no_delay	long	Delayed
7	NK	DTW	nan	very_long	nan	Delayed
7	NK	PBI	long	no_delay	long	OnTime
7	NK	SEA	long	short	medium	OnTime
7	OH	CHS	very_long	very_long	very_long	Delayed
7	OO	ACT	very_long	no_delay	long	Delayed
7	OO	CLT	very_long	very_long	long	Delayed
7	OO	HLN	very_long	very_long	very_long	Delayed
7	OO	MCW	very_long	very_long	very_long	Delayed
7	OO	SEA	nan	very_long	very_long	Delayed
7	OO	SMF	nan	very_long	very_long	Delayed
7	PT	HSV	very_long	very_long	very_long	Delayed
7	PT	MOB	very_long	long	long	Delayed
7	PT	PHF	very_long	very_long	long	Delayed
7	PT	PIT	very_long	very_long	very_long	Delayed
7	QX	HLN	very_long	no_delay	long	Delayed
7	QX	MFR	very_long	no_delay	long	Delayed
7	QX	ONT	very_long	no_delay	long	Delayed
7	UA	BWI	very_long	very_long	very_long	Delayed
7	UA	EUG	very_long	no_delay	long	Delayed
7	UA	EYW	very_long	no_delay	medium	Delayed
7	UA	FLL	very_long	very_long	very_long	Delayed
7	UA	HDN	very_long	very_long	no_delay	Delayed
7	UA	HNL	very_long	long	very_long	Delayed
7	UA	OGG	very_long	no_delay	very_long	Delayed
7	UA	STT	very_long	no_delay	long	Delayed
7	UA	TVC	very_long	short	very_long	Delayed
7	WN	BNA	nan	very_long	nan	Delayed
7	WN	CVG	very_long	long	very_long	Delayed
7	WN	DTW	very_long	medium	very_long	Delayed
7	WN	MCI	nan	very_long	very_long	Delayed
7	WN	MIA	nan	very_long	very_long	Delayed
7	WN	MSP	nan	very_long	very_long	Delayed
